id;lat;lng;url;name;lat_name;date;origin;leaves;blossoms;fruits
G4113;51.335;12.3668;https://s-leipzig.maps.arcgis.com/apps/webappviewer/index.html?id=d53ee05f33ae44c5ab41bd458d11e593&marker=12.366827860070135%2C51.33503168782829%2C%2C%2C%2C&markertemplate=%7B%22title%22%3A%22G4113%22%2C%22longitude%22%3A12.366827860070135%2C%22latitude%22%3A51.33503168782829%2C%22isIncludeShareUrl%22%3Atrue%7D&level=8;Pyramiden-Pappel;Populus nigra 'Italica';1950;Italien;glänzend, leicht ledrig, dunkelgrün, gelappt, Herbstfärbung gelb bis rot;erst nach dem Laubaustrieb, April – Mai, doldenförmig, gelbgrün;geflügelte Nüsschen mit zwei Samen
G3943;51.3351;12.3659;https://s-leipzig.maps.arcgis.com/apps/webappviewer/index.html?id=d53ee05f33ae44c5ab41bd458d11e593&marker=12.365885636684226%2C51.33514009402672%2C%2C%2C%2C&markertemplate=%7B%22title%22%3A%22G3943%22%2C%22longitude%22%3A12.365885636684226%2C%22latitude%22%3A51.33514009402672%2C%22isIncludeShareUrl%22%3Atrue%7D&level=8;Hänge-Silber-Linde;Tilia tomentosa 'Petiolaris';1900;Balkan;glänzend, leicht ledrig, dunkelgrün, gelappt, Herbstfärbung gelb bis rot;erst nach dem Laubaustrieb, April – Mai, doldenförmig, gelbgrün;geflügelte Nüsschen mit zwei Samen
G3952;51.3352;12.3658;https://s-leipzig.maps.arcgis.com/apps/webappviewer/index.html?id=d53ee05f33ae44c5ab41bd458d11e593&marker=12.365767551311416%2C51.335208759713446%2C%2C%2C%2C&markertemplate=%7B%22title%22%3A%22G3952%22%2C%22longitude%22%3A12.365767551311416%2C%22latitude%22%3A51.335208759713446%2C%22isIncludeShareUrl%22%3Atrue%7D&level=8;Hänge-Esche;Fraxinus excelsior 'Pendula';1920;England;glänzend, leicht ledrig, dunkelgrün, gelappt, Herbstfärbung gelb bis rot;erst nach dem Laubaustrieb, April – Mai, doldenförmig, gelbgrün;geflügelte Nüsschen mit zwei Samen
G3955;51.3354;12.3665;https://s-leipzig.maps.arcgis.com/apps/webappviewer/index.html?id=d53ee05f33ae44c5ab41bd458d11e593&marker=12.36653920156822%2C51.33540087631197%2C%2C%2C%2C&markertemplate=%7B%22title%22%3A%22G3955%22%2C%22longitude%22%3A12.36653920156822%2C%22latitude%22%3A51.33540087631197%2C%22isIncludeShareUrl%22%3Atrue%7D&level=8;Japanischer Schnurbaum;Sophora japonica;1920;Italien;glänzend, leicht ledrig, dunkelgrün, gelappt, Herbstfärbung gelb bis rot;erst nach dem Laubaustrieb, April – Mai, doldenförmig, gelbgrün;geflügelte Nüsschen mit zwei Samen
G4009;51.3356;12.3666;https://s-leipzig.maps.arcgis.com/apps/webappviewer/index.html?id=d53ee05f33ae44c5ab41bd458d11e593&marker=12.36660898588813%2C51.33559365992937%2C%2C%2C%2C&markertemplate=%7B%22title%22%3A%22G4009%22%2C%22longitude%22%3A12.36660898588813%2C%22latitude%22%3A51.33559365992937%2C%22isIncludeShareUrl%22%3Atrue%7D&level=8;Götterbaum;Ailanthus altissima;1920;Italien;glänzend, leicht ledrig, dunkelgrün, gelappt, Herbstfärbung gelb bis rot;erst nach dem Laubaustrieb, April – Mai, doldenförmig, gelbgrün;geflügelte Nüsschen mit zwei Samen
G1228;51.3356;12.3659;https://s-leipzig.maps.arcgis.com/apps/webappviewer/index.html?id=d53ee05f33ae44c5ab41bd458d11e593&marker=12.365922971204531%2C51.3355731887583%2C%2C%2C%2C&markertemplate=%7B%22title%22%3A%22G1228%22%2C%22longitude%22%3A12.365922971204531%2C%22latitude%22%3A51.3355731887583%2C%22isIncludeShareUrl%22%3Atrue%7D&level=8;Ulme 'New Horizon';Ulmus 'New Horizon';2016;Italien;glänzend, leicht ledrig, dunkelgrün, gelappt, Herbstfärbung gelb bis rot;erst nach dem Laubaustrieb, April – Mai, doldenförmig, gelbgrün;geflügelte Nüsschen mit zwei Samen
G3983;51.3355;12.3648;https://s-leipzig.maps.arcgis.com/apps/webappviewer/index.html?id=d53ee05f33ae44c5ab41bd458d11e593&marker=12.364752355651502%2C51.33551032613033%2C%2C%2C%2C&markertemplate=%7B%22title%22%3A%22G3983%22%2C%22longitude%22%3A12.364752355651502%2C%22latitude%22%3A51.33551032613033%2C%22isIncludeShareUrl%22%3Atrue%7D&level=8;Platane;Platanus x acerifolia;1890;Italien;glänzend, leicht ledrig, dunkelgrün, gelappt, Herbstfärbung gelb bis rot;erst nach dem Laubaustrieb, April – Mai, doldenförmig, gelbgrün;geflügelte Nüsschen mit zwei Samen
G3973;51.3355;12.3643;https://s-leipzig.maps.arcgis.com/apps/webappviewer/index.html?id=d53ee05f33ae44c5ab41bd458d11e593&marker=12.364316863708229%2C51.33551041510566%2C%2C%2C%2C&markertemplate=%7B%22title%22%3A%22G3973%22%2C%22longitude%22%3A12.364316863708229%2C%22latitude%22%3A51.33551041510566%2C%22isIncludeShareUrl%22%3Atrue%7D&level=8;Stiel-Eiche;Quercus robur;1900;Italien;glänzend, leicht ledrig, dunkelgrün, gelappt, Herbstfärbung gelb bis rot;erst nach dem Laubaustrieb, April – Mai, doldenförmig, gelbgrün;geflügelte Nüsschen mit zwei Samen
G3765;51.3354;12.3655;https://s-leipzig.maps.arcgis.com/apps/webappviewer/index.html?id=d53ee05f33ae44c5ab41bd458d11e593&marker=12.36546571815995%2C51.33539192174882%2C%2C%2C%2C&markertemplate=%7B%22title%22%3A%22G3765%22%2C%22longitude%22%3A12.36546571815995%2C%22latitude%22%3A51.33539192174882%2C%22isIncludeShareUrl%22%3Atrue%7D&level=8;Japanische Zelkove;Zelkova serrata;1960;Italien;glänzend, leicht ledrig, dunkelgrün, gelappt, Herbstfärbung gelb bis rot;erst nach dem Laubaustrieb, April – Mai, doldenförmig, gelbgrün;geflügelte Nüsschen mit zwei Samen
G4065;51.3359;12.3638;https://s-leipzig.maps.arcgis.com/apps/webappviewer/index.html?id=d53ee05f33ae44c5ab41bd458d11e593&marker=12.363817172980976%2C51.335923593199375%2C%2C%2C%2C&markertemplate=%7B%22title%22%3A%22G4065%22%2C%22longitude%22%3A12.363817172980976%2C%22latitude%22%3A51.335923593199375%2C%22isIncludeShareUrl%22%3Atrue%7D&level=8;Französischer Ahorn;Acer monspessulanum;1920;Italien;glänzend, leicht ledrig, dunkelgrün, gelappt, Herbstfärbung gelb bis rot;erst nach dem Laubaustrieb, April – Mai, doldenförmig, gelbgrün;geflügelte Nüsschen mit zwei Samen
G4125;51.3357;12.3631;https://s-leipzig.maps.arcgis.com/apps/webappviewer/index.html?id=d53ee05f33ae44c5ab41bd458d11e593&marker=12.363097185088588%2C51.33570698929508%2C%2C%2C%2C&markertemplate=%7B%22title%22%3A%22G4125%22%2C%22longitude%22%3A12.363097185088588%2C%22latitude%22%3A51.33570698929508%2C%22isIncludeShareUrl%22%3Atrue%7D&level=8;Rosskastanie;Aesculus hippocastanum;1920;Italien;glänzend, leicht ledrig, dunkelgrün, gelappt, Herbstfärbung gelb bis rot;erst nach dem Laubaustrieb, April – Mai, doldenförmig, gelbgrün;geflügelte Nüsschen mit zwei Samen
G4144;51.3358;12.3628;https://s-leipzig.maps.arcgis.com/apps/webappviewer/index.html?id=d53ee05f33ae44c5ab41bd458d11e593&marker=12.36275374149925%2C51.33580187472662%2C%2C%2C%2C&markertemplate=%7B%22title%22%3A%22G4144%22%2C%22longitude%22%3A12.36275374149925%2C%22latitude%22%3A51.33580187472662%2C%22isIncludeShareUrl%22%3Atrue%7D&level=8;Robinie;Robinia pseudoacacia;1950;Italien;glänzend, leicht ledrig, dunkelgrün, gelappt, Herbstfärbung gelb bis rot;erst nach dem Laubaustrieb, April – Mai, doldenförmig, gelbgrün;geflügelte Nüsschen mit zwei Samen
G4147;51.3357;12.3628;https://s-leipzig.maps.arcgis.com/apps/webappviewer/index.html?id=d53ee05f33ae44c5ab41bd458d11e593&marker=12.36279882569163%2C51.33573687396073%2C%2C%2C%2C&markertemplate=%7B%22title%22%3A%22G4147%22%2C%22longitude%22%3A12.36279882569163%2C%22latitude%22%3A51.33573687396073%2C%22isIncludeShareUrl%22%3Atrue%7D&level=8;Veredelte Blut-Buche;Fagus sylvatica 'Atropunicea';1900;Italien;glänzend, leicht ledrig, dunkelgrün, gelappt, Herbstfärbung gelb bis rot;erst nach dem Laubaustrieb, April – Mai, doldenförmig, gelbgrün;geflügelte Nüsschen mit zwei Samen
G3713;51.3352;12.3626;https://s-leipzig.maps.arcgis.com/apps/webappviewer/index.html?id=d53ee05f33ae44c5ab41bd458d11e593&marker=12.36256132563817%2C51.3351669656041%2C%2C%2C%2C&markertemplate=%7B%22title%22%3A%22G3713%22%2C%22longitude%22%3A12.36256132563817%2C%22latitude%22%3A51.3351669656041%2C%22isIncludeShareUrl%22%3Atrue%7D&level=8;Holländische Linde;Tilia x vulgaris;1920;Italien;glänzend, leicht ledrig, dunkelgrün, gelappt, Herbstfärbung gelb bis rot;erst nach dem Laubaustrieb, April – Mai, doldenförmig, gelbgrün;geflügelte Nüsschen mit zwei Samen
